customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
CUST-0001401,19,3,6193.400000000001,3,2,4,9,Mid-Value
CUST-0001406,-15,3,3959.65,4,2,2,8,Mid-Value
CUST-0001454,0,6,7535.49,3,4,4,11,High-Value
CUST-0001458,199,1,1108.87,1,1,1,3,Low-Value
CUST-0001460,120,3,3828.94,2,2,2,6,Low-Value
CUST-0001472,67,1,1593.61,3,1,1,5,Low-Value
CUST-0001475,-43,2,3479.4399999999996,4,1,2,7,Mid-Value
CUST-0001482,239,2,1985.87,1,1,1,3,Low-Value
CUST-0001488,207,1,981.26,1,1,1,3,Low-Value
CUST-0001546,240,2,2529.24,1,1,1,3,Low-Value
CUST-0001561,7,3,4563.07,3,2,3,8,Mid-Value
CUST-0001602,35,4,6171.12,3,3,4,10,High-Value
CUST-0001609,77,2,2420.52,3,1,1,5,Low-Value
CUST-0001617,-12,4,6106.530000000001,4,3,4,11,High-Value
CUST-0001633,28,3,5303.42,3,2,3,8,Mid-Value
CUST-0001647,115,1,1447.99,2,1,1,4,Low-Value
CUST-0001667,-44,4,6114.66,4,3,4,11,High-Value
CUST-0001689,233,1,2138.25,1,1,1,3,Low-Value
CUST-0001700,77,4,7753.42,3,3,4,10,High-Value
CUST-0001748,353,2,3800.24,1,1,2,4,Low-Value
CUST-0001759,-2,4,5087.79,4,3,3,10,High-Value
CUST-0001766,60,2,3234.63,3,1,2,6,Low-Value
CUST-0001768,105,4,5719.77,2,3,4,9,Mid-Value
CUST-0001770,262,2,2941.6099999999997,1,1,2,4,Low-Value
CUST-0001810,224,4,6538.42,1,3,4,8,Mid-Value
CUST-0001834,124,3,2923.33,2,2,2,6,Low-Value
CUST-0001848,64,2,1784.16,3,1,1,5,Low-Value
CUST-0001885,6,4,4313.83,3,3,3,9,Mid-Value
CUST-0001920,89,6,7141.45,2,4,4,10,High-Value
CUST-0001937,-20,1,1389.08,4,1,1,6,Low-Value
CUST-0001988,34,2,4010.34,3,1,3,7,Mid-Value
CUST-0002013,-10,1,1424.6,4,1,1,6,Low-Value
CUST-0002022,-28,1,2070.58,4,1,1,6,Low-Value
CUST-0002038,105,2,4500.530000000001,2,1,3,6,Low-Value
CUST-0002077,79,3,3085.5200000000004,2,2,2,6,Low-Value
CUST-0002086,223,3,3935.0299999999997,1,2,2,5,Low-Value
CUST-0002087,322,1,1032.67,1,1,1,3,Low-Value
CUST-0002092,21,5,7293.75,3,4,4,11,High-Value
CUST-0002113,271,3,5944.6900000000005,1,2,4,7,Mid-Value
CUST-0002150,122,1,2311.04,2,1,1,4,Low-Value
CUST-0002151,173,1,889.08,1,1,1,3,Low-Value
CUST-0002160,-40,4,6304.86,4,3,4,11,High-Value
CUST-0002173,193,2,2715.4700000000003,1,1,2,4,Low-Value
CUST-0002187,-8,4,6114.860000000001,4,3,4,11,High-Value
CUST-0002191,209,2,3173.75,1,1,2,4,Low-Value
CUST-0002203,221,1,1368.46,1,1,1,3,Low-Value
CUST-0002210,146,1,2030.83,2,1,1,4,Low-Value
CUST-0002231,-20,7,13720.07,4,4,4,12,High-Value
CUST-0002238,-27,4,7619.87,4,3,4,11,High-Value
CUST-0002240,-25,2,2570.58,4,1,2,7,Mid-Value
CUST-0002247,158,1,150.0,2,1,1,4,Low-Value
CUST-0002267,29,5,7534.33,3,4,4,11,High-Value
CUST-0002293,-12,1,1307.81,4,1,1,6,Low-Value
CUST-0002296,-24,4,9308.869999999999,4,3,4,11,High-Value
CUST-0002297,175,6,11628.5,1,4,4,9,Mid-Value
CUST-0002310,275,3,3903.31,1,2,2,5,Low-Value
CUST-0002336,279,1,1998.05,1,1,1,3,Low-Value
CUST-0002343,123,5,8140.02,2,4,4,10,High-Value
CUST-0002346,-1,5,6802.26,4,4,4,12,High-Value
CUST-0002355,-5,3,4595.84,4,2,3,9,Mid-Value
CUST-0002372,22,2,1947.22,3,1,1,5,Low-Value
CUST-0002410,-18,1,2032.24,4,1,1,6,Low-Value
CUST-0002459,-22,2,2867.9700000000003,4,1,2,7,Mid-Value
CUST-0002474,173,4,4903.8099999999995,1,3,3,7,Mid-Value
CUST-0002514,-11,2,4149.57,4,1,3,8,Mid-Value
CUST-0002518,60,3,3142.96,3,2,2,7,Mid-Value
CUST-0002521,-35,1,1259.05,4,1,1,6,Low-Value
CUST-0002534,31,4,7448.27,3,3,4,10,High-Value
CUST-0002547,-19,3,4782.3099999999995,4,2,3,9,Mid-Value
CUST-0002575,-13,1,875.28,4,1,1,6,Low-Value
CUST-0002609,-30,1,1731.48,4,1,1,6,Low-Value
CUST-0002618,22,6,8488.17,3,4,4,11,High-Value
CUST-0002623,199,3,6362.75,1,2,4,7,Mid-Value
CUST-0002636,-8,2,3056.92,4,1,2,7,Mid-Value
CUST-0002644,-3,2,2994.98,4,1,2,7,Mid-Value
CUST-0002668,-30,5,7771.83,4,4,4,12,High-Value
CUST-0002683,263,2,2755.18,1,1,2,4,Low-Value
CUST-0002775,107,3,4577.33,2,2,3,7,Mid-Value
CUST-0002844,-42,3,3634.63,4,2,2,8,Mid-Value
CUST-0002851,298,2,2192.78,1,1,1,3,Low-Value
CUST-0002979,79,4,5279.29,2,3,3,8,Mid-Value
CUST-0002995,131,4,3460.13,2,3,2,7,Mid-Value
CUST-0003004,-34,1,1647.58,4,1,1,6,Low-Value
CUST-0003023,2,2,4116.2699999999995,3,1,3,7,Mid-Value
CUST-0003046,96,3,4329.77,2,2,3,7,Mid-Value
CUST-0003053,-44,2,2957.91,4,1,2,7,Mid-Value
CUST-0003091,50,4,5719.85,3,3,4,10,High-Value
CUST-0003117,169,2,3841.69,2,1,2,5,Low-Value
CUST-0003136,-33,3,4183.27,4,2,3,9,Mid-Value
CUST-0003222,-22,2,2914.74,4,1,2,7,Mid-Value
CUST-0003239,-12,3,5202.9,4,2,3,9,Mid-Value
CUST-0003326,236,1,1636.8,1,1,1,3,Low-Value
CUST-0003350,138,3,3809.51,2,2,2,6,Low-Value
CUST-0003351,178,2,2513.7200000000003,1,1,1,3,Low-Value
CUST-0003352,121,3,5005.62,2,2,3,7,Mid-Value
CUST-0003397,17,3,2971.5699999999997,3,2,2,7,Mid-Value
CUST-0003402,75,3,4987.75,3,2,3,8,Mid-Value
CUST-0003427,169,3,4083.88,2,2,3,7,Mid-Value
CUST-0003453,284,3,5780.5,1,2,4,7,Mid-Value
CUST-0003459,281,3,4125.23,1,2,3,6,Low-Value
CUST-0003488,182,3,6193.1900000000005,1,2,4,7,Mid-Value
CUST-0003508,223,4,8839.2,1,3,4,8,Mid-Value
CUST-0003511,49,5,8668.01,3,4,4,11,High-Value
CUST-0003513,0,1,1683.06,3,1,1,5,Low-Value
CUST-0003530,144,2,1724.49,2,1,1,4,Low-Value
CUST-0003531,244,2,3687.62,1,1,2,4,Low-Value
CUST-0003536,150,2,2363.81,2,1,1,4,Low-Value
CUST-0003542,64,2,1788.6100000000001,3,1,1,5,Low-Value
CUST-0003584,172,4,7207.5599999999995,1,3,4,8,Mid-Value
CUST-0003603,216,3,3345.71,1,2,2,5,Low-Value
CUST-0003631,13,3,4143.360000000001,3,2,3,8,Mid-Value
CUST-0003637,-16,2,3301.19,4,1,2,7,Mid-Value
CUST-0003648,-45,3,3083.52,4,2,2,8,Mid-Value
CUST-0003658,-33,1,931.28,4,1,1,6,Low-Value
CUST-0003663,32,5,6090.62,3,4,4,11,High-Value
CUST-0003668,115,2,3002.6,2,1,2,5,Low-Value
CUST-0003693,184,3,5347.25,1,2,3,6,Low-Value
CUST-0003731,-35,4,7423.1,4,3,4,11,High-Value
CUST-0003757,128,1,1831.28,2,1,1,4,Low-Value
CUST-0003768,-15,4,7829.12,4,3,4,11,High-Value
CUST-0003807,60,2,2157.5299999999997,3,1,1,5,Low-Value
CUST-0003811,-36,4,4129.46,4,3,3,10,High-Value
CUST-0003836,141,4,5451.76,2,3,3,8,Mid-Value
CUST-0003838,299,2,2862.1800000000003,1,1,2,4,Low-Value
CUST-0003840,125,3,4849.09,2,2,3,7,Mid-Value
CUST-0003843,331,2,2399.34,1,1,1,3,Low-Value
CUST-0003868,32,5,5226.32,3,4,3,10,High-Value
CUST-0003889,40,1,3085.03,3,1,2,6,Low-Value
CUST-0003905,57,5,7104.91,3,4,4,11,High-Value
CUST-0003930,295,1,150.0,1,1,1,3,Low-Value
CUST-0003979,-21,3,4626.23,4,2,3,9,Mid-Value
CUST-0003984,71,2,2043.4099999999999,3,1,1,5,Low-Value
CUST-0003989,33,3,6167.5,3,2,4,9,Mid-Value
CUST-0003990,18,5,5475.24,3,4,3,10,High-Value
CUST-0004001,-32,2,2737.76,4,1,2,7,Mid-Value
CUST-0004014,149,3,5564.110000000001,2,2,3,7,Mid-Value
CUST-0004049,14,1,2273.98,3,1,1,5,Low-Value
CUST-0004055,-38,5,8189.04,4,4,4,12,High-Value
CUST-0004067,356,2,3555.87,1,1,2,4,Low-Value
CUST-0004090,166,3,4102.12,2,2,3,7,Mid-Value
CUST-0004108,-31,3,6014.96,4,2,4,10,High-Value
CUST-0004111,334,1,1239.91,1,1,1,3,Low-Value
CUST-0004112,198,3,1880.0,1,2,1,4,Low-Value
CUST-0004124,193,1,1877.91,1,1,1,3,Low-Value
CUST-0004137,-28,2,2299.1,4,1,1,6,Low-Value
CUST-0004140,-36,4,7942.7699999999995,4,3,4,11,High-Value
CUST-0004154,-22,6,9096.25,4,4,4,12,High-Value
CUST-0004166,78,3,7312.49,3,2,4,9,Mid-Value
CUST-0004167,-20,1,1335.92,4,1,1,6,Low-Value
CUST-0004197,27,4,3754.7299999999996,3,3,2,8,Mid-Value
CUST-0004200,126,2,2879.7799999999997,2,1,2,5,Low-Value
CUST-0004237,100,6,8705.98,2,4,4,10,High-Value
CUST-0004247,206,4,6141.5599999999995,1,3,4,8,Mid-Value
CUST-0004251,13,2,2420.6,3,1,1,5,Low-Value
CUST-0004263,70,1,814.78,3,1,1,5,Low-Value
CUST-0004274,30,4,3692.44,3,3,2,8,Mid-Value
CUST-0004305,233,1,579.21,1,1,1,3,Low-Value
CUST-0004327,213,3,4347.219999999999,1,2,3,6,Low-Value
CUST-0004332,116,3,4508.55,2,2,3,7,Mid-Value
CUST-0004341,167,2,1441.74,2,1,1,4,Low-Value
CUST-0004385,36,3,3319.1099999999997,3,2,2,7,Mid-Value
CUST-0004386,84,3,5357.54,2,2,3,7,Mid-Value
CUST-0004398,-16,4,4806.13,4,3,3,10,High-Value
CUST-0004426,96,3,3980.95,2,2,2,6,Low-Value
CUST-0004435,141,2,2353.35,2,1,1,4,Low-Value
CUST-0004459,203,4,6262.41,1,3,4,8,Mid-Value
CUST-0004466,85,1,2725.85,2,1,2,5,Low-Value
CUST-0004472,49,1,1657.79,3,1,1,5,Low-Value
CUST-0004480,52,4,5256.65,3,3,3,9,Mid-Value
CUST-0004497,-30,1,1648.11,4,1,1,6,Low-Value
CUST-0004503,32,2,2966.9399999999996,3,1,2,6,Low-Value
CUST-0004514,71,4,5294.57,3,3,3,9,Mid-Value
CUST-0004515,-15,3,4998.08,4,2,3,9,Mid-Value
CUST-0004524,291,2,3531.4300000000003,1,1,2,4,Low-Value
CUST-0004527,-11,3,3834.81,4,2,2,8,Mid-Value
CUST-0004552,162,2,2237.23,2,1,1,4,Low-Value
CUST-0004561,53,5,8450.02,3,4,4,11,High-Value
CUST-0004583,-19,5,6854.9400000000005,4,4,4,12,High-Value
CUST-0004592,4,3,2458.5,3,2,1,6,Low-Value
CUST-0004605,-15,3,3606.64,4,2,2,8,Mid-Value
CUST-0004613,256,2,2109.25,1,1,1,3,Low-Value
CUST-0004629,208,3,4013.5699999999997,1,2,3,6,Low-Value
CUST-0004639,217,4,5853.71,1,3,4,8,Mid-Value
CUST-0004663,54,3,3888.96,3,2,2,7,Mid-Value
CUST-0004668,-9,5,6970.7699999999995,4,4,4,12,High-Value
CUST-0004670,217,5,7530.32,1,4,4,9,Mid-Value
CUST-0004714,-30,4,7000.76,4,3,4,11,High-Value
CUST-0004736,-12,5,6291.72,4,4,4,12,High-Value
CUST-0004739,47,1,2597.49,3,1,2,6,Low-Value
CUST-0004768,17,5,5014.97,3,4,3,10,High-Value
CUST-0004830,-10,4,6424.5199999999995,4,3,4,11,High-Value
CUST-0004860,-23,5,8609.43,4,4,4,12,High-Value
CUST-0004869,22,2,2617.38,3,1,2,6,Low-Value
CUST-0004928,-42,2,3338.12,4,1,2,7,Mid-Value
CUST-0004929,92,4,6740.82,2,3,4,9,Mid-Value
CUST-0004935,221,2,4022.49,1,1,3,5,Low-Value
CUST-0004948,100,7,8106.46,2,4,4,10,High-Value
CUST-0004949,207,2,2367.75,1,1,1,3,Low-Value
CUST-0004961,189,3,5042.82,1,2,3,6,Low-Value
CUST-0004984,72,3,3336.46,3,2,2,7,Mid-Value
CUST-0004986,241,2,2883.76,1,1,2,4,Low-Value
CUST-0005001,-43,3,4133.41,4,2,3,9,Mid-Value
CUST-0005025,146,4,4583.03,2,3,3,8,Mid-Value
CUST-0005026,56,1,2104.96,3,1,1,5,Low-Value
CUST-0005049,1,2,3722.3,3,1,2,6,Low-Value
CUST-0005050,-25,3,4261.8099999999995,4,2,3,9,Mid-Value
CUST-0005063,93,3,4696.82,2,2,3,7,Mid-Value
CUST-0005103,2,4,5203.79,3,3,3,9,Mid-Value
CUST-0005114,-5,3,3279.98,4,2,2,8,Mid-Value
CUST-0005127,186,2,2096.04,1,1,1,3,Low-Value
CUST-0005148,27,2,3115.23,3,1,2,6,Low-Value
CUST-0005224,-45,1,2186.34,4,1,1,6,Low-Value
CUST-0005270,157,4,4899.83,2,3,3,8,Mid-Value
CUST-0005272,139,3,5129.83,2,2,3,7,Mid-Value
CUST-0005294,96,4,6720.25,2,3,4,9,Mid-Value
CUST-0005361,74,2,3773.91,3,1,2,6,Low-Value
CUST-0005389,121,4,5634.9,2,3,4,9,Mid-Value
CUST-0005393,167,2,2514.05,2,1,1,4,Low-Value
CUST-0005409,52,2,2577.66,3,1,2,6,Low-Value
CUST-0005437,1,2,2177.05,3,1,1,5,Low-Value
CUST-0005446,-4,5,9736.29,4,4,4,12,High-Value
CUST-0005492,-13,4,6471.85,4,3,4,11,High-Value
CUST-0005495,-40,4,5650.81,4,3,4,11,High-Value
CUST-0005512,48,2,2784.67,3,1,2,6,Low-Value
CUST-0005608,350,1,3336.02,1,1,2,4,Low-Value
CUST-0005640,313,3,4121.0599999999995,1,2,3,6,Low-Value
CUST-0005656,238,4,4634.96,1,3,3,7,Mid-Value
CUST-0005677,65,3,3109.78,3,2,2,7,Mid-Value
CUST-0005699,175,3,4664.1900000000005,1,2,3,6,Low-Value
CUST-0005711,-33,3,5115.9400000000005,4,2,3,9,Mid-Value
CUST-0005719,112,4,5321.25,2,3,3,8,Mid-Value
CUST-0005724,24,3,6075.71,3,2,4,9,Mid-Value
CUST-0005732,15,3,4406.02,3,2,3,8,Mid-Value
CUST-0005770,84,3,4533.36,2,2,3,7,Mid-Value
CUST-0005805,27,1,886.69,3,1,1,5,Low-Value
CUST-0005806,255,1,1381.68,1,1,1,3,Low-Value
CUST-0005812,183,3,4779.45,1,2,3,6,Low-Value
CUST-0005821,-41,2,1638.74,4,1,1,6,Low-Value
CUST-0005822,-45,3,5091.03,4,2,3,9,Mid-Value
CUST-0005835,105,3,4029.16,2,2,3,7,Mid-Value
CUST-0005841,165,1,1357.98,2,1,1,4,Low-Value
CUST-0005847,76,6,8451.19,3,4,4,11,High-Value
CUST-0005853,42,2,2548.54,3,1,1,5,Low-Value
CUST-0005894,18,1,305.88,3,1,1,5,Low-Value
CUST-0005902,260,2,3102.0,1,1,2,4,Low-Value
CUST-0005905,25,4,7130.01,3,3,4,10,High-Value
CUST-0005935,215,3,4621.39,1,2,3,6,Low-Value
CUST-0005947,-17,3,3341.12,4,2,2,8,Mid-Value
CUST-0006029,-9,1,273.01,4,1,1,6,Low-Value
CUST-0006033,139,4,5815.85,2,3,4,9,Mid-Value
CUST-0006047,285,2,1763.56,1,1,1,3,Low-Value
CUST-0006048,4,1,2280.18,3,1,1,5,Low-Value
CUST-0006055,99,4,6634.74,2,3,4,9,Mid-Value
CUST-0006079,199,3,4242.12,1,2,3,6,Low-Value
CUST-0006087,133,3,4050.18,2,2,3,7,Mid-Value
CUST-0006095,85,2,2231.06,2,1,1,4,Low-Value
CUST-0006110,59,4,3918.37,3,3,2,8,Mid-Value
CUST-0006126,48,1,2239.21,3,1,1,5,Low-Value
CUST-0006131,128,5,7179.04,2,4,4,10,High-Value
CUST-0006143,59,4,5215.77,3,3,3,9,Mid-Value
CUST-0006161,-33,3,3802.36,4,2,2,8,Mid-Value
CUST-0006209,82,1,1192.6,2,1,1,4,Low-Value
CUST-0006211,111,7,9540.05,2,4,4,10,High-Value
CUST-0006247,296,1,1403.6,1,1,1,3,Low-Value
CUST-0006249,186,3,4565.1,1,2,3,6,Low-Value
CUST-0006255,-21,2,3242.29,4,1,2,7,Mid-Value
CUST-0006260,53,3,4130.24,3,2,3,8,Mid-Value
CUST-0006273,22,6,7601.3,3,4,4,11,High-Value
CUST-0006284,-11,1,1468.72,4,1,1,6,Low-Value
CUST-0006290,3,1,1363.22,3,1,1,5,Low-Value
CUST-0006384,337,1,1286.04,1,1,1,3,Low-Value
CUST-0006391,98,3,1442.6399999999999,2,2,1,5,Low-Value
CUST-0006393,179,3,3499.18,1,2,2,5,Low-Value
CUST-0006486,46,2,3856.01,3,1,2,6,Low-Value
CUST-0006510,227,3,3062.65,1,2,2,5,Low-Value
CUST-0006531,68,3,4647.08,3,2,3,8,Mid-Value
CUST-0006532,175,2,2924.83,1,1,2,4,Low-Value
CUST-0006566,2,2,2328.54,3,1,1,5,Low-Value
CUST-0006574,-14,3,6878.33,4,2,4,10,High-Value
CUST-0006579,-45,5,5738.24,4,4,4,12,High-Value
CUST-0006592,157,3,3853.3199999999997,2,2,2,6,Low-Value
CUST-0006598,78,5,5568.88,3,4,3,10,High-Value
CUST-0006622,-24,2,3201.49,4,1,2,7,Mid-Value
CUST-0006624,144,5,8063.82,2,4,4,10,High-Value
CUST-0006643,221,4,5965.91,1,3,4,8,Mid-Value
CUST-0006650,158,2,2463.45,2,1,1,4,Low-Value
CUST-0006663,-11,4,6485.71,4,3,4,11,High-Value
CUST-0006685,61,3,2995.32,3,2,2,7,Mid-Value
CUST-0006690,-39,2,4081.63,4,1,3,8,Mid-Value
CUST-0006699,200,3,4671.23,1,2,3,6,Low-Value
CUST-0006715,227,2,1648.51,1,1,1,3,Low-Value
CUST-0006727,101,5,8192.43,2,4,4,10,High-Value
CUST-0006737,115,2,2304.75,2,1,1,4,Low-Value
CUST-0006742,-23,4,5998.9,4,3,4,11,High-Value
CUST-0006748,22,1,2348.77,3,1,1,5,Low-Value
CUST-0006754,98,3,4068.92,2,2,3,7,Mid-Value
CUST-0006755,238,3,4633.4800000000005,1,2,3,6,Low-Value
CUST-0006760,38,5,5912.63,3,4,4,11,High-Value
CUST-0006764,2,4,6403.42,3,3,4,10,High-Value
CUST-0006770,259,3,3757.4,1,2,2,5,Low-Value
CUST-0006810,208,2,1998.47,1,1,1,3,Low-Value
CUST-0006814,146,6,6722.389999999999,2,4,4,10,High-Value
CUST-0006868,308,2,2410.5,1,1,1,3,Low-Value
CUST-0006872,41,2,3229.35,3,1,2,6,Low-Value
CUST-0006905,193,4,3235.13,1,3,2,6,Low-Value
CUST-0006915,69,5,7268.04,3,4,4,11,High-Value
CUST-0006944,219,2,3743.9300000000003,1,1,2,4,Low-Value
CUST-0006947,115,4,4300.54,2,3,3,8,Mid-Value
CUST-0006952,299,2,1693.21,1,1,1,3,Low-Value
CUST-0006953,77,1,2165.45,3,1,1,5,Low-Value
CUST-0006956,166,2,2046.52,2,1,1,4,Low-Value
CUST-0006957,-14,2,2664.69,4,1,2,7,Mid-Value
CUST-0007004,255,2,3661.17,1,1,2,4,Low-Value
CUST-0007039,269,1,836.67,1,1,1,3,Low-Value
CUST-0007050,244,3,2392.7200000000003,1,2,1,4,Low-Value
CUST-0007060,13,1,990.3,3,1,1,5,Low-Value
CUST-0007071,133,1,1815.24,2,1,1,4,Low-Value
CUST-0007089,64,1,1704.96,3,1,1,5,Low-Value
CUST-0007100,230,3,5351.02,1,2,3,6,Low-Value
CUST-0007126,17,1,956.06,3,1,1,5,Low-Value
CUST-0007129,225,3,3040.57,1,2,2,5,Low-Value
CUST-0007137,133,5,6335.86,2,4,4,10,High-Value
CUST-0007166,14,5,5373.58,3,4,3,10,High-Value
CUST-0007200,-45,4,6339.12,4,3,4,11,High-Value
CUST-0007231,165,2,1746.75,2,1,1,4,Low-Value
CUST-0007240,50,3,5269.299999999999,3,2,3,8,Mid-Value
CUST-0007255,-20,2,3876.48,4,1,2,7,Mid-Value
CUST-0007262,-24,3,5001.03,4,2,3,9,Mid-Value
CUST-0007322,51,3,5542.1900000000005,3,2,3,8,Mid-Value
CUST-0007329,189,3,2796.08,1,2,2,5,Low-Value
CUST-0007334,116,3,4329.24,2,2,3,7,Mid-Value
CUST-0007349,264,3,3872.91,1,2,2,5,Low-Value
CUST-0007351,160,1,1761.43,2,1,1,4,Low-Value
CUST-0007400,-12,3,5007.780000000001,4,2,3,9,Mid-Value
CUST-0007401,273,1,2094.26,1,1,1,3,Low-Value
CUST-0007433,-29,2,3638.95,4,1,2,7,Mid-Value
CUST-0007436,-39,2,3601.45,4,1,2,7,Mid-Value
CUST-0007471,200,2,3243.0699999999997,1,1,2,4,Low-Value
CUST-0007479,1,2,3740.52,3,1,2,6,Low-Value
CUST-0007537,184,4,5129.43,1,3,3,7,Mid-Value
CUST-0007551,-3,1,2090.65,4,1,1,6,Low-Value
CUST-0007565,-21,3,6000.62,4,2,4,10,High-Value
CUST-0007589,99,6,6754.18,2,4,4,10,High-Value
CUST-0007625,180,3,3293.1099999999997,1,2,2,5,Low-Value
CUST-0007674,41,5,8681.24,3,4,4,11,High-Value
CUST-0007706,338,1,1306.52,1,1,1,3,Low-Value
CUST-0007713,-30,5,5709.370000000001,4,4,4,12,High-Value
CUST-0007731,63,5,6105.52,3,4,4,11,High-Value
CUST-0007745,59,3,4284.18,3,2,3,8,Mid-Value
CUST-0007788,6,1,1378.39,3,1,1,5,Low-Value
CUST-0007791,253,4,7265.45,1,3,4,8,Mid-Value
CUST-0007909,-16,1,1701.71,4,1,1,6,Low-Value
CUST-0007913,209,4,5484.51,1,3,3,7,Mid-Value
CUST-0007922,9,2,4004.89,3,1,3,7,Mid-Value
